symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
BTCUSDT,LONG,2024-02-04 19:07:00,2024-02-04 20:49:00,42606.8,42626.0,42711.3,1,0.77,0.1801,0.17,102,TP
BTCUSDT,SHORT,2024-02-04 20:55:00,2024-02-04 21:45:00,42891.9,42874.7,42789.0,0,0.39,0.1801,0.09,50,TP
BTCUSDT,LONG,2024-02-05 15:50:00,2024-02-05 16:49:00,42575.0,42593.1,42678.3,3,1.53,0.1802,0.34,59,TP
BTCUSDT,SHORT,2024-02-05 16:55:00,2024-02-05 18:07:00,42717.2,42700.1,42614.7,0,0.38,0.1798,0.09,72,TP
BTCUSDT,LONG,2024-02-05 18:36:00,2024-02-05 18:58:00,42574.2,42591.2,42676.4,0,0.38,0.1801,0.09,22,TP
BTCUSDT,SHORT,2024-02-06 15:45:00,2024-02-06 15:49:00,43229.5,43207.9,43121.5,0,0.39,0.1799,0.09,4,TP
BTCUSDT,SHORT,2024-02-06 16:21:00,2024-02-06 16:42:00,43321.0,43303.7,43217.1,0,0.39,0.18,0.09,21,TP
BTCUSDT,LONG,2024-02-06 16:48:00,2024-02-06 18:58:00,43082.7,43099.9,43186.1,2,1.16,0.18,0.26,130,TP
BTCUSDT,SHORT,2024-02-07 13:47:00,2024-02-07 14:21:00,43154.8,43133.2,43046.9,0,0.39,0.1799,0.09,34,TP
BTCUSDT,SHORT,2024-02-07 14:46:00,2024-02-07 14:54:00,43229.1,43211.8,43125.4,0,0.39,0.1798,0.09,8,TP
BTCUSDT,LONG,2024-02-07 21:49:00,2024-02-07 22:15:00,44105.6,44127.7,44216.0,0,0.4,0.1799,0.09,26,TP
